Emotion;Emotion_Value;File;Predominant_Color;Number_Of_Colors;Surface_Colored
Negative;1;audio_524.wav;red;9;16.7
Positive;0;audio_525.wav;palevioletred;8;16.0
Negative;1;audio_526.wav;yellow;4;20.7
Positive;0;audio_527.wav;blue;2;67.8
Negative;1;audio_528.wav;blue;9;33.2
Positive;0;audio_529.wav;blue;8;23.2
Negative;1;audio_53.wav;palevioletred;2;2.1
Positive;0;audio_530.wav;black;5;6.4
Negative;1;audio_531.wav;black;7;15.0
Negative;1;audio_532.wav;black;4;0.5
Negative;1;audio_534.wav;black;2;41.8
Positive;0;audio_535.wav;yellow;3;93.7
Negative;1;audio_536.wav;darksalmon;3;13.9
Negative;1;audio_537.wav;palevioletred;4;2.4
Negative;1;audio_538.wav;yellow;1;3.3
Negative;1;audio_539.wav;steelblue;9;12.8
Negative;1;audio_540.wav;lime;4;7.4
Positive;0;audio_543.wav;red;1;4.1
Negative;1;audio_544.wav;darkturquoise;9;8.3
Positive;0;audio_546.wav;yellow;4;2.6
Negative;1;audio_547.wav;lime;5;28.9
Negative;1;audio_548.wav;palevioletred;8;11.6
Positive;0;audio_549.wav;lime;5;14.9
Negative;1;audio_55.wav;yellow;4;3.3
Negative;1;audio_550.wav;lime;3;22.0
Positive;0;audio_551.wav;blue;5;15.8
Negative;1;audio_552.wav;yellow;10;10.5
Negative;1;audio_553.wav;yellow;6;50.9
Negative;1;audio_554.wav;red;4;6.2
Negative;1;audio_555.wav;blue;4;3.9
Negative;1;audio_556.wav;black;1;5.6
Negative;1;audio_557.wav;red;5;5.7
Negative;1;audio_558.wav;red;5;2.7
Negative;1;audio_559.wav;red;3;2.9
Negative;1;audio_56.wav;black;2;15.8
Negative;1;audio_560.wav;blue;1;1.8
Negative;1;audio_561.wav;red;7;6.2
Negative;1;audio_562.wav;darksalmon;4;6.7
Negative;1;audio_563.wav;red;8;10.7
Negative;1;audio_564.wav;lime;3;5.2
Negative;1;audio_565.wav;red;11;18.8
Negative;1;audio_566.wav;black;5;11.9
Negative;1;audio_567.wav;yellowgreen;11;25.2
Negative;1;audio_568.wav;black;4;4.2
Negative;1;audio_569.wav;dimgray;9;17.1
Positive;0;audio_57.wav;yellow;5;14.2
Negative;1;audio_570.wav;lime;3;5.1
Negative;1;audio_571.wav;lime;4;9.2
Negative;1;audio_572.wav;blue;11;29.1
Negative;1;audio_573.wav;lime;5;15.3
Negative;1;audio_574.wav;red;3;3.7
Negative;1;audio_575.wav;yellow;1;2.5
Negative;1;audio_576.wav;blue;4;2.0
Negative;1;audio_577.wav;yellow;3;6.3
Negative;1;audio_578.wav;blue;1;3.6
Negative;1;audio_579.wav;darksalmon;2;8.3
Negative;1;audio_58.wav;blue;4;9.4
Negative;1;audio_580.wav;indianred;7;13.2
Negative;1;audio_581.wav;forestgreen;3;1.7
Negative;1;audio_582.wav;blue;4;5.8
Negative;1;audio_583.wav;yellow;3;9.6
Negative;1;audio_584.wav;yellow;5;6.1
Negative;1;audio_585.wav;yellow;4;3.2
Negative;1;audio_586.wav;sienna;3;11.8
Negative;1;audio_587.wav;palevioletred;2;18.4
Negative;1;audio_588.wav;black;4;0.4
Negative;1;audio_589.wav;sienna;8;11.0
Positive;0;audio_59.wav;lime;5;0.6
Negative;1;audio_590.wav;lime;4;4.0
Negative;1;audio_591.wav;indianred;8;7.0
Negative;1;audio_592.wav;darkturquoise;10;21.1
Negative;1;audio_593.wav;blue;4;18.5
Negative;1;audio_594.wav;darkgray;5;8.7
Negative;1;audio_595.wav;red;4;4.3
Negative;1;audio_596.wav;red;3;7.7
Negative;1;audio_597.wav;darkgray;6;3.6
Negative;1;audio_598.wav;blue;5;5.3
Negative;1;audio_599.wav;lime;5;36.5
Positive;0;audio_6.wav;lime;4;11.1
Positive;0;audio_60.wav;lime;7;51.7
Negative;1;audio_600.wav;darkslategray;6;4.5
Negative;1;audio_601.wav;steelblue;6;2.8
Negative;1;audio_602.wav;lime;3;4.6
Negative;1;audio_603.wav;black;4;16.5
Negative;1;audio_604.wav;lime;9;16.5
Negative;1;audio_605.wav;yellow;5;10.0
Negative;1;audio_606.wav;red;11;45.3
